store_id,item_id,sales,price,promo,weekday,month,year,day,dayofweek
store_5,item_21,26,24.56,0,1,9,2019.0,24.0,1.0
store_2,item_9,20,38.9,0,3,1,2021.0,28.0,3.0
store_4,item_32,17,43.89,0,4,10,2019.0,25.0,4.0
store_1,item_36,24,77.01,0,6,1,2023.0,15.0,6.0
store_4,item_16,33,39.1,0,0,7,2022.0,18.0,0.0
store_1,item_5,51,55.5,1,3,1,2021.0,14.0,3.0
store_5,item_22,12,44.75,0,5,8,2022.0,6.0,5.0
store_2,item_6,44,18.15,0,3,8,2023.0,24.0,3.0
store_5,item_2,41,58.1,0,5,4,2022.0,2.0,5.0
store_4,item_10,12,93.04,0,6,8,2020.0,23.0,6.0
store_3,item_24,42,26.34,0,3,12,2023.0,14.0,3.0
store_2,item_6,35,18.15,0,0,9,2019.0,9.0,0.0
store_1,item_32,18,63.42,0,4,11,2019.0,1.0,4.0
store_3,item_29,29,22.78,0,3,6,2019.0,27.0,3.0
store_3,item_18,30,96.18,0,4,9,2020.0,25.0,4.0
store_5,item_46,31,34.55,0,3,3,2021.0,25.0,3.0
store_2,item_6,37,18.15,0,6,10,2023.0,22.0,6.0
store_5,item_28,16,69.51,1,1,9,2022.0,20.0,1.0
store_4,item_25,32,95.8,0,0,11,2020.0,23.0,0.0
store_6,item_16,38,78.57,0,1,2,2022.0,8.0,1.0
store_4,item_47,31,94.0,0,2,6,2019.0,12.0,2.0
store_1,item_28,16,99.99,0,3,4,2021.0,22.0,3.0
store_3,item_38,21,70.86,0,4,11,2021.0,19.0,4.0
store_4,item_50,25,75.88,1,5,5,2019.0,18.0,5.0
store_5,item_5,20,95.6,0,0,8,2022.0,15.0,0.0
store_2,item_10,35,21.37,0,0,4,2020.0,6.0,0.0
store_2,item_4,50,85.11,0,3,7,2020.0,16.0,3.0
store_5,item_23,26,44.93,1,2,2,2021.0,24.0,2.0
store_2,item_39,41,89.92,0,3,10,2020.0,8.0,3.0
store_3,item_40,24,39.75,0,4,11,2020.0,27.0,4.0
store_5,item_10,21,94.64,0,4,10,2023.0,20.0,4.0
store_1,item_7,12,65.21,0,0,4,2019.0,15.0,0.0
store_3,item_29,30,22.78,0,0,1,2023.0,16.0,0.0
store_4,item_11,28,88.0,0,2,1,2020.0,22.0,2.0
store_6,item_17,11,39.13,0,1,8,2020.0,18.0,1.0
store_3,item_19,14,40.16,0,2,10,2020.0,28.0,2.0
store_3,item_2,30,41.07,0,2,9,2019.0,11.0,2.0
store_3,item_31,40,51.73,0,2,11,2019.0,27.0,2.0
